taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
SH0978144.09FU	ITS2	Fungi	Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	Glomeromycota sp.
SH0978146.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0978151.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0978153.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0978157.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0979586.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0979606.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0979611.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0980947.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0980957.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0980962.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0980970.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0980979.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0980980.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0980986.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0980989.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0980992.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
